Platform,Stress,Clock Type,Min (ms),Max (ms),Mean (ms),Std. (ms),Period > Freq * 1.25,CPU Usage
Linux (RPi),FALSE,NS Sleep,16.733058,20.212946,16.77502497,0.0804254,1,0.34%
Linux (RPi),FALSE,NS Sleep Spin,16.749908,18.602926,16.84846793,0.0291703,0,12.86%
Linux (RPi),FALSE,NS Spin Lock,16.668391,16.898815,16.66939585,0.0044834,0,99.94%
Linux (RPi),FALSE,Sleep,16.733688,23.192004,16.7764435,0.138808,3,0.32%
Linux (RPi),FALSE,Sleep Spin,16.737482,17.97719,16.82170733,0.029152,0,13.33%
Linux (RPi),FALSE,Spin Lock,16.6683,19.379972,16.67004335,0.0392065,0,99.89%
Linux (RPi),TRUE,NS Sleep,16.688356,28.179699,16.74710926,0.2839323,6,0.14%
Linux (RPi),TRUE,NS Sleep Spin,16.748689,18.58875,16.76738792,0.0317388,0,12.39%
Linux (RPi),TRUE,NS Spin Lock,16.668511,36.671272,18.03459813,2.5263645,771,79.28%
Linux (RPi),TRUE,Sleep,16.693348,25.896172,16.74101432,0.1744274,3,0.13%
Linux (RPi),TRUE,Sleep Spin,16.712692,19.2931,16.74952563,0.0582402,0,12.67%
Linux (RPi),TRUE,Spin Lock,16.668324,39.996318,17.95216994,2.4760187,712,79.93%
Linux VM (macOS),FALSE,NS Sleep,16.737239,28.918727,21.75114393,2.511301,3716,0.32%
Linux VM (macOS),FALSE,NS Sleep Spin,16.671689,16.711426,16.67255832,0.0014884,0,11.50%
Linux VM (macOS),FALSE,NS Spin Lock,16.666793,16.826463,16.66796316,0.0090061,0,99.99%
Linux VM (macOS),FALSE,Sleep,16.748065,25.1887,21.69803288,2.482359,3748,0.31%
Linux VM (macOS),FALSE,Sleep Spin,16.67105,17.51042,16.67204228,0.0119722,0,11.50%
Linux VM (macOS),FALSE,Spin Lock,16.666792,16.749903,16.66696451,0.0012492,0,100.00%
Linux VM (macOS),TRUE,NS Sleep,16.673548,17.926592,16.72760655,0.0184946,0,0.04%
Linux VM (macOS),TRUE,NS Sleep Spin,16.672239,17.067658,16.6733494,0.0059633,0,11.57%
Linux VM (macOS),TRUE,NS Spin Lock,16.666811,28.671274,17.08820485,1.6505484,271,66.55%
Linux VM (macOS),TRUE,Sleep,16.676408,16.791659,16.72710705,0.004395,0,0.04%
Linux VM (macOS),TRUE,Sleep Spin,16.671723,16.711602,16.67261194,0.0016688,0,11.56%
Linux VM (macOS),TRUE,Spin Lock,16.666799,28.657919,17.07381796,1.6162872,260,66.80%
Linux VM (Windows),FALSE,NS Sleep,16.738291,87.978703,19.54794137,3.3597627,2197,0.32%
Linux VM (Windows),FALSE,NS Sleep Spin,16.670186,133.490985,19.1356651,6.5987936,827,17.37%
Linux VM (Windows),FALSE,NS Spin Lock,16.667006,17.623058,16.66964108,0.0205305,0,100.00%
Linux VM (Windows),FALSE,Sleep,16.749814,88.504612,20.91229023,3.2147554,4027,0.07%
Linux VM (Windows),FALSE,Sleep Spin,16.669795,325.317222,18.56037538,7.2197559,613,18.33%
Linux VM (Windows),FALSE,Spin Lock,16.666953,17.389513,16.669475,0.0190378,0,99.98%
Linux VM (Windows),TRUE,NS Sleep,16.886845,3000.853069,69.74297571,222.0562974,4893,0.06%
Linux VM (Windows),TRUE,NS Sleep Spin,16.66981,3005.013184,100.6464831,261.8174211,1442,3.08%
Linux VM (Windows),TRUE,NS Spin Lock,16.666974,2008.089822,22.27697701,67.0177729,842,69.12%
Linux VM (Windows),TRUE,Sleep,16.761494,1978.799378,63.01933379,193.5022224,4924,0.07%
Linux VM (Windows),TRUE,Sleep Spin,16.669462,1636.560597,93.05655569,247.589025,1498,3.23%
Linux VM (Windows),TRUE,Spin Lock,16.666954,1024.617966,21.79621808,67.1005276,273,74.58%
macOS,FALSE,NS Sleep,16.690417,20.199,17.55690582,0.3151226,2,0.24%
macOS,FALSE,NS Sleep Spin,16.6775,17.850875,16.73418214,0.0276676,0,12.02%
macOS,FALSE,NS Spin Lock,16.666833,16.680583,16.66705365,0.0006801,0,99.89%
macOS,FALSE,Sleep,16.687833,20.149666,18.22294305,0.6180716,1,0.20%
macOS,FALSE,Sleep Spin,16.677166,17.470042,16.72600374,0.0208842,0,12.47%
macOS,FALSE,Spin Lock,16.666833,17.16825,16.66726823,0.0071356,0,99.79%
macOS,TRUE,NS Sleep,16.682375,19.061125,18.65673583,0.1623317,0,0.03%
macOS,TRUE,NS Sleep Spin,16.672334,18.829166,16.67484916,0.043579,0,9.94%
macOS,TRUE,NS Spin Lock,16.666792,24.195375,16.66907932,0.1103151,1,99.91%
macOS,TRUE,Sleep,16.677042,18.976041,18.65244253,0.1714747,0,0.03%
macOS,TRUE,Sleep Spin,16.671625,22.564459,16.67460139,0.0864665,1,10.32%
macOS,TRUE,Spin Lock,16.666833,22.309041,16.66998899,0.0994122,1,99.88%
Windows,FALSE,NS Sleep,17.3262,31.5409,31.2460348,0.2137548,4999,0.00%
Windows,FALSE,NS Sleep Spin,16.6706,23.6259,17.3605799,1.9466202,555,0.00%
Windows,FALSE,NS Spin Lock,16.6669,16.6808,16.66717392,0.0004886,0,100.01%
Windows,FALSE,Sleep,16.933,31.3183,31.2471306,0.2032342,4999,0.00%
Windows,FALSE,Sleep Spin,16.6698,23.3304,17.36175344,1.9504677,556,0.00%
Windows,FALSE,Spin Lock,16.66689994,16.687,16.66713432,0.0005538,0,99.97%
Windows,TRUE,NS Sleep,15.806,51.4759,41.24597882,7.719008,4952,0.00%
Windows,TRUE,NS Sleep Spin,16.6699,46.8886,25.26562712,9.3036669,2679,0.00%
