Clock/Period Name,Min (ms),Max (ms),Mean (ms),Std. (ms),Periods > 9.09ms,CPU Usage
Sleep Spin,7.578565,1912.7285739998779,67.85653388099999,220.8726179,4561,0.39058947215463075%
Spin Lock,7.57605,1027.337747,9.638639839,39.9733271,249,76.60704556500922%
Sleep,8.149482,2609.877403,42.457301193000006,175.6906533,4990,0.08652649299749045%
NS Sleep Spin,7.579052,1859.00788,86.7941416438,252.2525392,4544,0.29318798392320383%
NS Spin Lock,7.576053,1999.523732,10.4275331454,47.5450132,550,68.27422304705351%
NS Sleep,7.704651,1873.977479,30.048540732400003,135.9319691,4982,0.12763484477888887%
