Clock/Period Name,Min (ms),Max (ms),Mean (ms),Std. (ms),Periods > 9.09ms,CPU Usage
Sleep Spin,7.57910003125,47.09980003125,24.33042509999375,9.5427937,4939,0.0%
Spin Lock,7.5761999375,49.72210003125,8.70880642,4.0122269,463,81.06018182798853%
Sleep,0.3398,46.95539996875,24.816372179993753,10.2575998,4913,0.0%
NS Sleep Spin,7.5798,46.9647,24.33238552,9.88622,4914,0.012842965538308236%
NS Spin Lock,7.5763,53.9433,8.808895060000001,4.2831839,486,80.13915850774778%
NS Sleep,0.3911,46.8982,24.37187036,9.9010851,4906,0.02564431724564021%
