Clock/Period Name,Min (ms),Max (ms),Mean (ms),Std. (ms),Periods > 20.00ms,CPU Usage
Sleep Spin,16.671625,22.564459,16.6746013916,0.0864665,1,10.318355529284316%
Spin Lock,16.666832999755858,22.309041,16.669988991800004,0.0994122,1,99.8836200106931%
Sleep,16.677042,18.976041,18.652442533200002,0.1714747,0,0.034272184063512956%
NS Sleep Spin,16.672334,18.829166,16.674849158199997,0.043579,0,9.941076985619288%
NS Spin Lock,16.666792,24.195375,16.669079316599998,0.1103151,1,99.91217951926423%
NS Sleep,16.682375,19.061125,18.656735825,0.1623317,0,0.034623417911453805%
