Clock/Period Name,Min (ms),Max (ms),Mean (ms),Std. (ms),Periods > 9.09ms,CPU Usage
Sleep Spin,7.585492,22.07376,7.707042531199999,1.0803739,58,43.64640780341805%
Spin Lock,7.577324,34.805138,8.5902269436,2.6213794,826,78.90545666941628%
Sleep,7.594732,13.34989,7.6448235868,0.0986547,2,0.2520858651207653%
NS Sleep Spin,7.595991,25.968181,7.667823747200001,0.8647993,30,44.124006284914465%
NS Spin Lock,7.577455,34.8459,8.496823981,2.4881494,755,80.5231976029029%
NS Sleep,7.598972,41.502919,7.659911976,0.5399449,11,0.27846155752333007%
