Clock/Period Name,Min (ms),Max (ms),Mean (ms),Std. (ms),Periods > 20.00ms,CPU Usage
Sleep Spin,16.67105,17.51042,16.6720422784,0.0119722,0,11.504104064701044%
Spin Lock,16.666792,16.749903,16.666964507,0.0012492,0,99.9973788079498%
Sleep,16.748065,25.1887,21.6980328834,2.482359,3748,0.30886826075228435%
NS Sleep Spin,16.671689,16.711426,16.6725583152,0.0014884,0,11.504823594851734%
NS Spin Lock,16.666793,16.826463,16.667963158400003,0.0090061,0,99.9903685753487%
NS Sleep,16.737239,28.918727,21.7511439304,2.511301,3716,0.3180207459541067%
