Clock/Period Name,Min (ms),Max (ms),Mean (ms),Std. (ms),Periods > 20.00ms,CPU Usage
Sleep Spin,16.66959996875,46.89270003125,24.286153979993752,8.3409848,2564,0.012867413542519683%
Spin Lock,16.6671999375,57.28820003125,19.365830759993752,6.2423691,935,80.36060774098519%
Sleep,15.95659996875,62.4902000625,41.17410298000625,7.7626479,4951,0.0%
NS Sleep Spin,16.6699,46.8886,25.26562712,9.3036669,2679,0.0%
NS Spin Lock,16.6672,61.4379,17.4275673,3.5186733,264,93.978257964872%
NS Sleep,15.806,51.4759,41.24597882,7.719008,4952,0.0%
