Clock/Period Name,Min (ms),Max (ms),Mean (ms),Std. (ms),Periods > 20.00ms,CPU Usage
Sleep Spin,16.677166,17.470042000030517,16.726003741599996,0.0208842,0,12.474767483581642%
Spin Lock,16.666833,17.16825,16.6672682334,0.0071356,0,99.79375691633562%
Sleep,16.687833,20.149666,18.22294305,0.6180716,1,0.1965335187117829%
NS Sleep Spin,16.6775,17.850875,16.7341821418,0.0276676,0,12.019954913663344%
NS Spin Lock,16.666833,16.680583,16.66705365,0.0006801,0,99.89466546080375%
NS Sleep,16.690417,20.199,17.5569058168,0.3151226,2,0.24052173044721656%
