Clock/Period Name,Min (ms),Max (ms),Mean (ms),Std. (ms),Periods > 20.00ms,CPU Usage
Sleep Spin,16.712692,19.2931,16.749525632399997,0.0582402,0,12.671690604527297%
Spin Lock,16.668324,39.996318,17.9521699368,2.4760187,712,79.92580170678174%
Sleep,16.693348,25.896172,16.741014315999998,0.1744274,3,0.13280920312979191%
NS Sleep Spin,16.748689,18.58875,16.7673879152,0.0317388,0,12.394124482436585%
NS Spin Lock,16.668511,36.671272,18.034598128800003,2.5263645,771,79.28346136316071%
NS Sleep,16.688356,28.179699,16.747109261,0.2839323,6,0.14109511241824113%
