Clock/Period Name,Min (ms),Max (ms),Mean (ms),Std. (ms),Periods > 9.09ms,CPU Usage
Sleep Spin,7.576625,12.7825,7.581696825000001,0.1105295,4,40.501133976410244%
Spin Lock,7.575917,10.305041,7.577537833399999,0.0523916,3,99.91374860739602%
Sleep,7.589167,9.5195,9.4562437168,0.1618879,4903,0.06445053012295329%
NS Sleep Spin,7.577416,13.004209,7.5800515334,0.0839012,2,50.41762011484683%
NS Spin Lock,7.575917,10.151709,7.577997366600001,0.0610868,2,99.90002318345361%
NS Sleep,7.597292,9.541167,9.4558670666,0.1602162,4897,0.06481900328625849%
