Clock/Period Name,Min (ms),Max (ms),Mean (ms),Std. (ms),Periods > 9.09ms,CPU Usage
Sleep Spin,15.4745,16.83919996875,15.62526723999375,0.0302655,5000,0.0%
Spin Lock,7.5759999375,7.7583,7.576205160006249,0.0026538,0,99.94283655834269%
Sleep,3.90280003125,15.76690003125,15.622654619999999,0.1676566,4999,0.0%
NS Sleep Spin,10.4868,19.876,15.62442874,0.1726674,5000,0.0%
NS Spin Lock,7.5761,9.0253,7.577594780000001,0.0210566,0,99.75954536545028%
NS Sleep,11.9603,15.7203,15.624267300000001,0.0558866,5000,0.0%
