Clock/Period Name,Min (ms),Max (ms),Mean (ms),Std. (ms),Periods > 20.00ms,CPU Usage
Sleep Spin,16.671723,16.711602,16.672611940800003,0.0016688,0,11.56483146831597%
Spin Lock,16.666799,28.657919,17.0738179624,1.6162872,260,66.80205161659636%
Sleep,16.676408,16.791659,16.7271070468,0.004395,0,0.04175546178774549%
NS Sleep Spin,16.672239,17.067658,16.6733494046,0.0059633,0,11.566260497375072%
NS Spin Lock,16.666811,28.671274,17.088204853799997,1.6505484,271,66.54832100264122%
NS Sleep,16.673548,17.926592,16.727606549,0.0184946,0,0.04191272902559315%
