Clock/Period Name,Min (ms),Max (ms),Mean (ms),Std. (ms),Periods > 20.00ms,CPU Usage
Sleep Spin,16.737482,17.97719,16.821707328800002,0.029152,0,13.328085782692153%
Spin Lock,16.6683,19.379972,16.670043352,0.0392065,0,99.89025363767416%
Sleep,16.733688,23.192004,16.7764435028,0.138808,3,0.31957693590543856%
NS Sleep Spin,16.749908,18.602926,16.848467933400002,0.0291703,0,12.86497062120476%
NS Spin Lock,16.668391,16.898815,16.6693958526,0.0044834,0,99.94324973439299%
NS Sleep,16.733058,20.212946,16.7750249736,0.0804254,1,0.335504393388481%
