Clock/Period Name,Min (ms),Max (ms),Mean (ms),Std. (ms),Periods > 20.00ms,CPU Usage
Sleep Spin,16.669462,1636.560597,93.05655569200005,247.589025,1498,3.23201785229289%
Spin Lock,16.666954,1024.617966,21.7962180808,67.1005276,273,74.58274903137287%
Sleep,16.761494,1978.799378,63.019333785,193.5022224,4924,0.06763165985156962%
NS Sleep Spin,16.66981,3005.013184,100.6464831292,261.8174211,1442,3.079311260632741%
NS Spin Lock,16.666974,2008.089822,22.276977011,67.0177729,842,69.12194717346183%
NS Sleep,16.886845,3000.853069,69.7429757056,222.0562974,4893,0.05774260591647394%
