Clock/Period Name,Min (ms),Max (ms),Mean (ms),Std. (ms),Periods > 9.09ms,CPU Usage
Sleep Spin,7.577395,7.660939,7.577828362999999,0.0016696,0,44.40025326258766%
Spin Lock,7.575889,20.414425,7.9935833644,0.987906,180,67.13976319288817%
Sleep,7.587513,7.775049,7.635505960800001,0.004453,0,0.07990284232160717%
NS Sleep Spin,7.577552,7.609302,7.578034585000001,0.0012843,0,44.40619517072521%
NS Spin Lock,7.575883,16.423908,7.9852758224,0.9932571,171,67.89539464490447%
NS Sleep,7.582202,7.87484,7.635797385000001,0.0055971,0,0.08236087625455077%
