Clock/Period Name,Min (ms),Max (ms),Mean (ms),Std. (ms),Periods > 9.09ms,CPU Usage
Sleep Spin,7.577175,1000.076584,7.7762112970000015,14.0346501,1,43.22063643893414%
Spin Lock,7.575853,7.599676,7.5760206206000005,0.0004673,0,99.9952161676267%
Sleep,7.629394,11.191785,9.061864637200001,0.6379988,3391,0.551211388509397%
NS Sleep Spin,7.577382,7.59765,7.5778398512,0.0009772,0,44.37046556131632%
NS Spin Lock,7.575883,7.596507,7.5760351412,0.0005984,0,99.99743494897729%
NS Sleep,7.652992,12.002878,9.1098836842,0.5937854,3497,0.5666937260166842%
