Clock/Period Name,Min (ms),Max (ms),Mean (ms),Std. (ms),Periods > 20.00ms,CPU Usage
Sleep Spin,16.669795,325.317222,18.5603753752,7.2197559,613,18.327615904734788%
Spin Lock,16.666953,17.389513,16.6694750042,0.0190378,0,99.98376401540982%
Sleep,16.749814,88.504612,20.912290227199986,3.2147554,4027,0.0688113647336134%
NS Sleep Spin,16.670186,133.490985,19.135665101,6.5987936,827,17.370850104554066%
NS Spin Lock,16.667006,17.623058,16.669641084,0.0205305,0,99.99963308390161%
NS Sleep,16.738291,87.978703,19.547941365,3.3597627,2197,0.3185190685419663%
