Clock/Period Name,Min (ms),Max (ms),Mean (ms),Std. (ms),Periods > 9.09ms,CPU Usage
Sleep Spin,7.578292,7.597375,7.5789954168,0.0009909,0,50.33515183404356%
Spin Lock,7.575957999984741,7.608417,7.5762769915999995,0.0010033,0,99.76799086389208%
Sleep,7.606375,15.408291,8.891805849999999,0.6795628,2605,0.3172740265776578%
NS Sleep Spin,7.578541,7.975041,7.5795195832,0.0056872,0,50.39903164593438%
NS Spin Lock,7.575958,7.594291,7.576251308199999,0.000891,0,99.77828001657582%
NS Sleep,7.60175,11.425292,8.929923200000001,0.6596643,2699,0.31705296155745716%
