Clock/Period Name,Min (ms),Max (ms),Mean (ms),Std. (ms),Periods > 9.09ms,CPU Usage
Sleep Spin,7.578513,55.231217,9.092628279000001,4.0680276,1724,30.256526947854844%
Spin Lock,7.576035,10.078772,7.5794889524,0.0678362,5,99.94268964065488%
Sleep,7.634148,380.912628,9.7796941088,5.833686,2787,0.522338068993899%
NS Sleep Spin,7.578916,51.612997,9.6814922376,3.642691,2779,17.605356014445377%
NS Spin Lock,7.576059,8.51178,7.5797147086,0.0262712,0,99.971653297382%
NS Sleep,7.655964,51.672022,10.1898779952,2.4386374,3760,0.2703455944975007%
